period,topic_id,keywords,count_lowi,count_uvnl,n_lowi,n_uvnl,freq_lowi,freq_uvnl,G,p,log2_odds_ratio,preferred,p_bonferroni,significant
2010-2014,22,"verzoeker, deskundige, 2014, proefschrift, werk klager",0,0,33,28,0.0,0.0,0.0,1.0,-0.23319917629303075,uvnl,1.0,False
2010-2014,23,"2013, college, college bestuur, manuscript, dr",0,4,33,28,0.0,0.14285714285714285,2.6371785536498558,0.10438878344295878,-3.6213043477848768,uvnl,1.0,False
2010-2014,24,"college, betrokkene, college bestuur, tilburg, tilburg university",0,0,33,28,0.0,0.0,0.0,1.0,-0.23319917629303075,uvnl,1.0,False
2010-2014,25,"verzoeker, rivm, buitenlandse, betrokkene, factsheet",0,0,33,28,0.0,0.0,0.0,1.0,-0.23319917629303075,uvnl,1.0,False
2010-2014,26,"the, to, and, his, on",0,0,33,28,0.0,0.0,0.0,1.0,-0.23319917629303075,uvnl,1.0,False
2010-2014,27,"knaw, verzoeker, betrokkene, druk, bestuur knaw",0,0,33,28,0.0,0.0,0.0,1.0,-0.23319917629303075,uvnl,1.0,False
2015-2019,0,"the, to, and, that, complainant",0,1,85,82,0.0,0.012195121951219513,0.0006378794155672413,0.9798505504686852,-1.6540868613759765,uvnl,1.0,False
2015-2019,1,"verzoeker, 2018, belanghebbende, verzoekers, betrokkene",20,0,85,82,0.23529411764705882,0.0,22.751387816583758,1.8437094264242546e-06,5.69045121732645,lowi,5.1623863939879126e-05,True
2015-2019,2,"2014, plagiaat, 2012, 2013, klacht klager",2,2,85,82,0.023529411764705882,0.024390243902439025,0.0,1.0,-0.05278741435943517,uvnl,1.0,False
2015-2019,3,"betrokkene, verzoeker, verweerder, maastricht, 2020",0,3,85,82,0.0,0.036585365853658534,1.1447774011930543,0.2846450971828949,-2.9123244816591467,uvnl,1.0,False
2015-2019,4,"verzoeker, belanghebbende, 2015, belanghebbenden, 2016",17,0,85,82,0.2,0.0,18.296503675461814,1.8905382751397995e-05,5.397573148230256,lowi,0.0005293507170391438,True
2015-2019,5,"betrokkene, verzoeker, proefschrift, verzoekers, betoogt",2,0,85,82,0.023529411764705882,0.0,0.31063780703322774,0.577289064974475,2.304546016659126,lowi,1.0,False
2015-2019,6,"betrokkene, verzoeker, verzoekers, utrecht, metc",0,0,85,82,0.0,0.0,0.0,1.0,-0.051530300640082065,uvnl,1.0,False
2015-2019,7,"dr, 2011, prof dr, 2008, verweerder",0,0,85,82,0.0,0.0,0.0,1.0,-0.051530300640082065,uvnl,1.0,False
2015-2019,8,"verzoeker, 2018, belanghebbende, betrokkene, promovendus",15,0,85,82,0.17647058823529413,0.0,15.437651860672608,8.527227259807053e-05,5.180967172233897,lowi,0.0023876236327459747,True
2015-2019,9,"beklaagden, tu, klachtonderdeel, cvb, tabel",0,10,85,82,0.0,0.12195121951219512,9.40625722697439,0.0021624619060334636,-4.630260847649724,uvnl,0.06054893336893698,False
2015-2019,10,"verzoeker, persbericht, betrokkene, polemiek, verzoekers",1,0,85,82,0.011764705882352941,0.0,0.0,1.0,1.5504052786847877,lowi,1.0,False
2015-2019,11,"the, boek, plagiaat, 2014, passages",0,6,85,82,0.0,0.07317073170731707,4.304397291651205,0.0380139629427945,-3.8609043903343383,uvnl,1.0,False
2015-2019,12,"the, beklaagden, toetsingscommissie, that, organisatie",0,3,85,82,0.0,0.036585365853658534,1.1447774011930543,0.2846450971828949,-2.9123244816591467,uvnl,1.0,False
2015-2019,13,"beklaagden, 2018, databases, bijlage, radboud",0,10,85,82,0.0,0.12195121951219512,9.40625722697439,0.0021624619060334636,-4.630260847649724,uvnl,0.06054893336893698,False
2015-2019,14,"betrokkene, verzoeker, verzoekers, redactie, universiteit leiden",0,2,85,82,0.0,0.024390243902439025,0.3829357103078881,0.5360362664828224,-2.408863731658643,uvnl,1.0,False
2015-2019,15,"onderzoeker, leerstoelhouder, opdrachtgever, verzoeker, betrokkene",1,2,85,82,0.011764705882352941,0.024390243902439025,0.0012912251008573294,0.9713352876813041,-0.8069281523337735,uvnl,1.0,False
2015-2019,16,"the, beklaagden, and, to, the committee",0,7,85,82,0.0,0.08536585365853659,5.512143015936304,0.018884894107367836,-4.0863383711693375,uvnl,0.5287770350062995,False
2015-2019,17,"klaagster, 2013, klagers, auteurs, 2012",0,0,85,82,0.0,0.0,0.0,1.0,-0.051530300640082065,uvnl,1.0,False
2015-2019,18,"universiteit leiden, begrip, regeling, college, open brief",0,7,85,82,0.0,0.08536585365853659,5.512143015936304,0.018884894107367836,-4.0863383711693375,uvnl,0.5287770350062995,False
2015-2019,19,"belanghebbende, verzoeker, belanghebbenden, klachtonderdeel, paper",9,0,85,82,0.10588235294117647,0.0,7.4652855371024796,0.006290005396696379,4.35686188499675,lowi,0.17612015110749862,False
2015-2019,20,"verzoeker, 2016, 2017, taal, december 2016",7,0,85,82,0.08235294117647059,0.0,5.064678930187066,0.024418228247086164,3.9785920609627077,lowi,0.6837103909184126,False
2015-2019,21,"verzoeker, erasmus, mc, erasmus mc, betrokkene",0,1,85,82,0.0,0.012195121951219513,0.0006378794155672413,0.9798505504686852,-1.6540868613759765,uvnl,1.0,False
2015-2019,22,"verzoeker, deskundige, 2014, proefschrift, werk klager",7,0,85,82,0.08235294117647059,0.0,5.064678930187066,0.024418228247086164,3.9785920609627077,lowi,0.6837103909184126,False
2015-2019,23,"2013, college, college bestuur, manuscript, dr",0,2,85,82,0.0,0.024390243902439025,0.3829357103078881,0.5360362664828224,-2.408863731658643,uvnl,1.0,False
2015-2019,24,"college, betrokkene, college bestuur, tilburg, tilburg university",1,1,85,82,0.011764705882352941,0.012195121951219513,0.0,1.0,-0.052151282051106876,uvnl,1.0,False
2015-2019,25,"verzoeker, rivm, buitenlandse, betrokkene, factsheet",0,0,85,82,0.0,0.0,0.0,1.0,-0.051530300640082065,uvnl,1.0,False
2015-2019,26,"the, to, and, his, on",0,5,85,82,0.0,0.06097560975609756,3.158480391690178,0.07553346304242951,-3.6011597282489576,uvnl,1.0,False
2015-2019,27,"knaw, verzoeker, betrokkene, druk, bestuur knaw",0,0,85,82,0.0,0.0,0.0,1.0,-0.051530300640082065,uvnl,1.0,False
2020-2024,0,"the, to, and, that, complainant",0,60,90,68,0.0,0.8823529411764706,148.2492818166951,4.1844616032732295e-34,-10.331246283107461,uvnl,1.1716492489165043e-32,True
2020-2024,1,"verzoeker, 2018, belanghebbende, verzoekers, betrokkene",1,0,90,68,0.011111111111111112,0.0,0.0,1.0,1.1991788064174265,lowi,1.0,False
2020-2024,2,"2014, plagiaat, 2012, 2013, klacht klager",0,0,90,68,0.0,0.0,0.0,1.0,-0.40181380412267875,uvnl,1.0,False
2020-2024,3,"betrokkene, verzoeker, verweerder, maastricht, 2020",11,0,90,68,0.12222222222222222,0.0,7.690905878581761,0.005549976356544708,4.308711083733185,lowi,0.1553993379832518,False
2020-2024,4,"verzoeker, belanghebbende, 2015, belanghebbenden, 2016",0,0,90,68,0.0,0.0,0.0,1.0,-0.40181380412267875,uvnl,1.0,False
2020-2024,5,"betrokkene, verzoeker, proefschrift, verzoekers, betoogt",12,0,90,68,0.13333333333333333,0.0,8.76019743603959,0.0030787571792086866,4.447267523843625,lowi,0.08620520101784322,False
2020-2024,6,"betrokkene, verzoeker, verzoekers, utrecht, metc",13,0,90,68,0.14444444444444443,0.0,9.854062447801416,0.001694571370710235,4.576795179849758,lowi,0.04744799837988658,True
2020-2024,7,"dr, 2011, prof dr, 2008, verweerder",0,0,90,68,0.0,0.0,0.0,1.0,-0.40181380412267875,uvnl,1.0,False
2020-2024,8,"verzoeker, 2018, belanghebbende, betrokkene, promovendus",0,0,90,68,0.0,0.0,0.0,1.0,-0.40181380412267875,uvnl,1.0,False
2020-2024,9,"beklaagden, tu, klachtonderdeel, cvb, tabel",0,2,90,68,0.0,0.029411764705882353,0.6867768230356783,0.4072628711435796,-2.766491546469378,uvnl,1.0,False
2020-2024,10,"verzoeker, persbericht, betrokkene, polemiek, verzoekers",11,0,90,68,0.12222222222222222,0.0,7.690905878581761,0.005549976356544708,4.308711083733185,lowi,0.1553993379832518,False
